review,BATTERY,CAMERA,GENERAL,SER&ACC,PERFORMANCE,DESIGN,FEATURES,PRICE,SCREEN,STORAGE
Đt pin trâu nhưng mà để 1 đêm tới sáng hao gần 10% pin,negative,,,,,,,,,
khá hài lòng với sản phẩm này,,,positive,,,,,,,
"chưa ưng ý lắm với pin,theo mình thì pin này chỉ khoảng 3500 mAh thôi chứ k đúng như 4000 mAh đâu",negative,,,,,,,,,
Pin trâu,positive,,,,,,,,,
chúc năng OK trong tầm giá,,,,,,,positive,,,
sản phẩm này đáng mua,,,positive,,,,,,,
nhân viên bán hàng nhiệt tình,,,,positive,,,,,,
dây sạc trong hộp theo máy thì không sạc được cho máy nhưng lại sạc được cho thiết bị khác,,,,negative,,,,,,
Sản phẩm tuyến đẹp,,,,,,positive,,,,
hàng Việt Nam chất lượng cao,,,,positive,,,,,,
những đó sang mang hình hỏi thấp,,,,,,,,,negative,
lỗi loa rè. Từ nhạc nghe online đến chuông báo đều bị,,,,,,,negative,,,
"Hệ điều hành ios bảo mật cao và quá tù túng so với android. Bù lại được cái hiệu năng load ứng dụng nhanh, đa nhiệm ổn",,,,,neutral,,,,,
Pin ngon,positive,,,,,,,,,
Cammera xoá phông tốt,,positive,,,,,,,,
giá 23.990k,,,,,,,,neutral,,
Tốt ở chỗ loa to rõ ko rè,,,,,,,positive,,,
màn hình dễ nhìn,,,,,,,,,positive,
Camera trước gì đâu ban đêm gọi video nhìn như ma trắng bóc quá kém chất lượng,,negative,,,,,,,,
pin tuột nhanh,negative,,,,,,,,,
vân tay ko nhạy.phải dùng pass mở,,,,,,,negative,,,
tiếc đồng tiền bỏ ra,,,,,,,,negative,,
hài lòng,,,positive,,,,,,,
Đây là chiếc điện thoại đáng để xem xét,,,positive,,,,,,,
xài máy này thích hơn nhiều,,,positive,,,,,,,
Giá 8 triệu còn được giảm hơn 500k,,,,,,,,positive,,
Con này để mà nói là ngon thì k hẵn,,,neutral,,,,,,,
chơi game khá drop fps,,,,,negative,,,,,
Pin cx k trâu lắm,negative,,,,,,,,,
Con này k nóng mấy chỉ hơi ấm chỗ camera thôi,neutral,,,,,,,,,
Nói chung là ổn,,,neutral,,,,,,,
Máy bị khởi động lại quá nhiều,,,,,negative,,,,,
sóng yếu,,,,,,,negative,,,
quá thất vọng,,,negative,,,,,,,
"mình ko chơi game gì hết chỉ lướt facebook chút ít ,đặc biệt vào kết nối wifi hay bị treo máy và tự khởi động lại",,,,,negative,,,,,
Nhìn chung máy khá ổn,,,positive,,,,,,,
Camera chụp theo mình thâý rõ nét,,positive,,,,,,,,
Pin tạm đc.,neutral,,,,,,,,,
Vân tay k nhạy.,,,,,,,negative,,,
Cho 4 sao vì sự tư vấn nhiệt tình,,,,positive,,,,,,
game này kia bình thường,,,,,positive,,,,,
Giá 3tr,,,,,,,,neutral,,
cấu hình ỗn định,,,,,positive,,,,,
Pin trâu là ngon rồi,positive,,,,,,,,,
Sản phẩm tốt ạ e xài đc 3 tháng khá là ok,,,positive,,,,,,,
 chiến liên quân tốt,,,,,positive,,,,,
 nhạc lớn bắt wi-fi 4g mạnh,,,,,,,positive,,,
ói chung với mức giá 2.990,,,,,,,,neutral,,
là quá ok rồi,,,positive,,,,,,,
Chơi game khá lag,,,,,negative,,,,,
Đáp ứng tốt nhu cầu cơ bản nghe gọi mạng xã hội lướt web,,,,,,,positive,,,
nhân viên giao hàng phục vụ tận tình,,,,positive,,,,,,
"Sản Phẩm Bị Lỗi Quá Nhiều,Không Hài Lòng",,,negative,,,,,,,
Máy Dính Lỗi Update,,,,,negative,,,,,
Lỗi Vân tay,,,,,,,negative,,,
Không Hài Lòng Đánh Giá Thấp,,,negative,,,,,,,
Cam chụp đẹp,,positive,,,,,,,,
chỉ bị lỗi ở loa,,,,,,,negative,,,
Rất hài lòng về đt này,,,positive,,,,,,,
đt sạc nhanh 1 tiếng vô khoản 86-93% tùy lúc. Pin trâu. Nếu 3g thì chơi game lướt fb zalo liên tục được 6-7 tiếng nếu chơi wifi là sáng tới chiều lun,positive,,,,,,,,,
cái ốp lưng hơi bị dày hơn màn hình nên chơi game hay pị cấn,,,,negative,,,,,,
Máy cũng k nóg lắm,,,,,neutral,,,,,
"máy còn 28% để qua đêm có bật wifi, 4g độ sáng màn hình mức trung bình không đặt ứng dụng chạy ngầm nhưng sáng dậy sập nguồn",negative,,,,,,,,,
sp đẹp cầm sướng cả tay,,,,,,positive,,,,
nhân viên TGDD thì khỏi bàn nhiệt tình chu đáo thân thiện,,,,positive,,,,,,
Máy gặp lỗi nhiều,,,,,negative,,,,,
"tự động chuyển đổi mạng,thi thoảng không lên bàn phím",,,,,,,negative,,,
mạng không ổn định chuyển đổi mạng giữa 3g vs 4g thì phải mất 10 đến 15s,,,,,,,negative,,,
mấy đùng rất ổn định,,,positive,,,,,,,
chơi game mượt,,,,,positive,,,,,
pin trâu,positive,,,,,,,,,
đẹp,,,,,,positive,,,,
cam ok,,positive,,,,,,,,
Sản phẩm cấu hình đẹp,,,,,positive,,,,,
pin trâu sạc thì không biết có sạc nhanh ko nhưng mình sạc thì thấy rất là nhanh,positive,,,,,,,,,
giá tốt,,,,,,,,positive,,
chơi game thì mình nghĩ máy này ko thích hợp,,,,,negative,,,,,
chụp ảnh mất lun cam góc rộng,,negative,,,,,,,,
Tự động cập nhật lên androi 10,,,,,negative,,,,,
"Rất tốt, sản phẩm này thật tuyệt",,,positive,,,,,,,
Nói chung xài cũng ok,,,positive,,,,,,,
không có kết nối NFC,,,,,,,negative,,,
Hết sức thất vọng mà cũng bằng giá,,,negative,,,,,,,
"nhân viên tư vấn rất thân thiện, dễ thương, nhiệt tìnhCảm ơn shop rất nhiều vì đã mang lại sự thoải mái trong mua sắm",,,,positive,,,,,,
"sạc dự phòng Xmobile, xài rất êm, sạc được 2 cái điện thoại loại 3500mA",,,,positive,,,,,,
máy mượt,,,,,positive,,,,,
Huawei p30 lite mọi thứ đều tốt,,,positive,,,,,,,
"camera, mình cảm thấy chụp hình ko được đẹp lắm",,negative,,,,,,,,
Bộ nhớ trong 128g có thể tải dc rất nhiều ứng dụng mà không lo hết dung lượng,,,,,,,,,,positive
Máy chạy rất mượt,,,,,positive,,,,,
sạc pin nhanh,positive,,,,,,,,,
Nhân viên tgdd rất nhiệt tình tư vấn cho khách hàng,,,,positive,,,,,,
ko có gì ko hài lòng về sản phẩm này,,,positive,,,,,,,
Sản phẩm cực kì bền,,,positive,,,,,,,
Sử dụng rất mượt,,,,,positive,,,,,
mẫu mã sanh trọng phù hợp với phái nữ . Màu sắc cá tính,,,,,,positive,,,,
Mua hàng ở điện máy xanh rất chất lượng . Rất tốt,,,,positive,,,,,,
thấy pin ổn,positive,,,,,,,,,
 hiệu năng tốt,,,,,positive,,,,,
độ phân giải hơi kém,,,,,,,,,negative,
mic đôi lúc bị rè,,,,,,,negative,,,
ảnh đại diện trên FB hay youtube bị mờ không hiển thị rõ,,,,,,,,,negative,
cảm nhận là đẹp,,,,,,positive,,,,
"cảm ứng hay bị đơ, cảm ứng hay nhảy lung tung, màn hình rất hay đơ và không nhận vân tay",,,,,,,negative,,,
Pin thì rất nhanh tụt so với dung lượng 4500mAh của nó,negative,,,,,,,,,
Nói chung là tệ,,,negative,,,,,,,
máy hơi mau nóng,,,,,negative,,,,,
vẫn thích thiết kế cũ của iphone với mặc lưng nhám,,,,,,positive,,,,
"Máy nóng nhanh,chơi game toàn bị diss ,dùng 1 tí là đơ máy ,hơi tí là giật",,,,,negative,,,,,
mạng thì ảo,,,,,,,negative,,,
Tóm gọn 2 từ phế vật,,,negative,,,,,,,
Nói chung là chỉ muốn đập thôi,,,negative,,,,,,,
mạng thì đơ. Cảm ứng vân tay ko ra gì,,,,,,,negative,,,
ói chung rất nhiều lỗi ko muốn nói ra,,,negative,,,,,,,
Pin 4k5 nhưng không trâu,negative,,,,,,,,,
"màn hình cảm ứng khi chơi game bắn súng không được tốt ( di tâm bị nhảy một đoạn nhỏ không được mượt nên không bắn được sniper ) , loa ngoài hơi nhỏ",,,,,,,negative,,,
Vì mua máy về chủ yếu để chơi game nên hơi thất vọng,,,negative,,,,,,,
Pin trâu,positive,,,,,,,,,
camera kém,,negative,,,,,,,,
 thu sóng 4g quá kém chơi game quá lag ping 500,,,,,,,negative,,,
nhân viên chưa thật sự hiểu rõ về tư vấn các loại máy,,,,negative,,,,,,
Nói chung mua rùi thất vọng não nề,,,negative,,,,,,,
"Nhân viên rất dễ thương từ chú giữ xe, đến cô nhân viên giới thiệu rất nhiệt tình",,,,positive,,,,,,
máy rất ok,,,positive,,,,,,,
"chiến game lq max setting chỉ hơi ấm ấm, không nóng máy",,,,,positive,,,,,
"cầm rất chắc tay, thiết kế đẹp",,,,,,positive,,,,
cam tốt,,positive,,,,,,,,
pin trâu,positive,,,,,,,,,
"âm thanh khi mua về bình thường, xài dc hơn 1 tháng thì loa quá nhỏ ko nghe dc gì hết",,,,,,,negative,,,
Máy dùng ngón,,,positive,,,,,,,
mọi thứ đều ổn,,,positive,,,,,,,
pin trâu dùng thả ga sạc nhanh,positive,,,,,,,,,
pin ổn,positive,,,,,,,,,
lỗi nhận diện vân tay,,,,,,,negative,,,
màn hình đọc chữ cảm giác ko phẳng hay tự mở,,,,,,,,,negative,
nhạc chuông tý tẹo,,,,,,,negative,,,
nói chung cảm giác hơi tiếc,,,negative,,,,,,,
thấy sài ok,,,positive,,,,,,,
chạm 2 lần sáng màn hình ko dùng vân tay nên ko để ý,,,,,,,neutral,,,
pin trâu,positive,,,,,,,,,
chup ảnh đẹp,,positive,,,,,,,,
Giá sản phẩm vẫn quá là Chát,,,,,,,,negative,,
Dt sài ok,,,positive,,,,,,,
 đẹp,,,,,,positive,,,,
mở khóa vân tay quá kém cần nâng cấp cảm biến vân tay,,,,,,,negative,,,
"Chụp ảnh thì khỏi bàn cãi, siêu đẹp",,positive,,,,,,,,
Chơi game mượt,,,,,positive,,,,,
Xem phim chất lượng cao,,,,,,,,,positive,
Xài rất tốt,,,positive,,,,,,,
Pin rất trâu,positive,,,,,,,,,
Camera chụp kém . Quay video k thật,,negative,,,,,,,,
Vân tay thì k nhạy,,,,,,,negative,,,
Thiết kế to kềnh càng,,,,,,negative,,,,
Pim máy ở mức trung,neutral,,,,,,,,,
Vào mạng kém hơn tốc độ loah kém hơn Mở khóa vân tay chậm,,,,,,,negative,,,
Hok hài lòng cho lắm,,,negative,,,,,,,
"jack cắm tai nghe , ko cắm nó vẫn hiển thị cắm ko nghe nhạc hay gì đc",,,,,,positive,,,,
đc cái cấu hình còn lại mọi thứ ko đc ổn định,,,,,neutral,,,,,
jack tai nghe cấm vào nghe xong rút ra là bị mất âm thanh loa trong phải reset lại,,,,,,,negative,,,
Sống ảo thì ok,,,positive,,,,,,,
ram cao mà cứ bị lag khi livetream,,,,,negative,,,,,
cảm biến thì ít nhạy,,,,,,,negative,,,
nói chung ko dc như quản cáo,,,,negative,,,,,,
sản phẩm rất mượt chiến game max seting rất ok,,,,,positive,,,,,
nv tgdd phục vụ nhiệt tình,,,,positive,,,,,,
"Chỉ dùng đọc báo, fb, nen thấy ok",,,positive,,,,,,,
chụp hình xấu. Sau vs trc đều k đẹp. Trc dù chụp chế độ thường vẫn rất ảo. Sau thì k rõ,,negative,,,,,,,,
máy ngon,,,positive,,,,,,,
"Máy mới sau khi đổi không có lỗi lầm gì, rất ok",,,positive,,,,,,,
Sài rất tốt,,,positive,,,,,,,
xem Youtube 7phút tụt 1%,neutral,,,,,,,,,
khômg quá nóng,,,,,positive,,,,,
xem tiktok thì 6phút tụt 1%,neutral,,,,,,,,,
bắt wifi và sóng sim rất tốt âm lượng lớn,,,,,,,positive,,,
camera chụp ok rõ nét ko bị mất chi tiết và không bị nhoè,,positive,,,,,,,,
độ sáng tốt chỉ cần 50% là nhìn rõ ở ngoài trời,,,,,,,,,positive,
sạc từ 30%-100% chỉ tốn có hơn 2tiếng 1 chút,positive,,,,,,,,,
vân tay và khuôn mặt nhạy nhưng khuôn mặt trong điều khiện thiếu sáng thì nhận diện hơi khó,,,,,,,positive,,,
Điện thoại có vài vết sọc nhỏ trên màn hình,,,,,,,,,negative,
Sử dụng tạm ổn,,,neutral,,,,,,,
Đôi khi bị lag nhẹ,,,,,negative,,,,,
Máy dùng ổn,,,positive,,,,,,,
"không chơi game, chỉ đặc và Zalo, đọc báo, pin trụ được 3 ngày",positive,,,,,,,,,
camera đẹp,,positive,,,,,,,,
máy mượt,,,,,positive,,,,,
Nói chung là oke,,,positive,,,,,,,
Máy tốt,,,positive,,,,,,,
pin trâu,positive,,,,,,,,,
Cần cải thiện hơn về Camera trước,,negative,,,,,,,,
cần cập nhật android lâu dài,,,,neutral,,,,,,
thấy thích lắm,,,positive,,,,,,,
"loa tặng kèm rất đẹp, rất dể thương, ủng hộ Huawei",,,,positive,,,,,,
sáng nay máy báo k có dịch vụ,,,,,negative,,,,,
Mình thất khá ổn,,,positive,,,,,,,
sóng hơi kém thôi,,,,,,,negative,,,
"Wifi , 4g",,,,,,,positive,,,
chụp ảnh ổn,,positive,,,,,,,,
"Cảm ứng, vân tay bình thường",,,,,,,neutral,,,
Máy OK cho ai thích màn hình lớn,,,,,,,,,positive,
Còn lại rất ok,,,positive,,,,,,,
xài mượt,,,,,positive,,,,,
rất ok,,,positive,,,,,,,
camera thì khỏi bàn,,positive,,,,,,,,
sac pin nhanh,positive,,,,,,,,,
theo mình thì ok,,,positive,,,,,,,
"NV tư vấn nhiệt tình,lịch sự",,,,positive,,,,,,
"cảm ứng quá tệ, nhảy lung tung, kg nhạy",,,,,,,negative,,,
Cảm thấy quá thất vọng về samsung,,,,negative,,,,,,
Sản phẩm chính hãng,,,positive,,,,,,,
thiết kế sang trọng,,,,,,positive,,,,
máy dùng rất là mượt dù dùng khá lâu,,,,,positive,,,,,
camera chụp ảnh đẹp,,positive,,,,,,,,
Nhân viên nhiệt tình chu đáo. Rất hài lòng,,,,positive,,,,,,
Máy đẹp,,,,,,positive,,,,
máy vượt trội hơn mong đợi,,,positive,,,,,,,
chụp hình sống ảo khá tốt,,positive,,,,,,,,
chải nghiệm thấy máy tốt,,,positive,,,,,,,
pin cũng bình thường,neutral,,,,,,,,,
chơi game ổn,,,,,positive,,,,,
nhan viên TGDD nhiệt tình vui tính,,,,positive,,,,,,
chơi game siêu mượt,,,,,positive,,,,,
Chụp hình thì ko đc tốt như Oppo,,negative,,,,,,,,
nói chung là đt rất mạnh chơi game khỏi chê,,,,,positive,,,,,
cấu hình chưa mượt lắm,,,,,negative,,,,,
nói chung tạm được,,,neutral,,,,,,,
Máy chơi liên quân có vẻ chả ổn định tý nào fps tụt còn 3x thì đánh đấm cái gì,,,,,negative,,,,,
 còn lại tất cả đều ổn,,,positive,,,,,,,
Cảm ứng quá tệ,,,,,,,negative,,,
Máy bị đơ liên tục dù ko cài game,,,,,negative,,,,,
Ra tgdd nói máy bị phần mềm. Trả tgdd cho rồi. ,,,,negative,,,,,,
Vào game chỉnh mức đồ họa cao cảm giác bị vỡ nét với có răng cưa,,,,,negative,,,,,
Dùng một tí đã lóng máy,,,,,negative,,,,,
5000mah mà dùng tí hết,negative,,,,,,,,,
Dùng thì lag lóng máy là lag,,,,,negative,,,,,
Thất vọng về đt này,,,negative,,,,,,,
ko sử dụng máy còn tuột nhanh hơn khi sử dụng nữa,negative,,,,,,,,,
mọi thứ khác điều ổn,,,positive,,,,,,,
pin trâu bò sạc tầm 1 tiếng đầy ặc pin rồi,positive,,,,,,,,,
cấu hình khủng chơi game cũng mượt nếu để chế độ HD còn hơn thì thỉnh thoảng hơi lag nhẹ,,,,,positive,,,,,
nói chung trong tầm giá này khá ổn,,,positive,,,,,,,
dùng cảm thấy cũng OK,,,positive,,,,,,,
pin dùng rất là trâu,positive,,,,,,,,,
loa nghe cũng rất OK,,,,,,,positive,,,
giá đó là hợp lý,,,,,,,,positive,,
"Máy đa nhiệm mượt , game cũng ok",,,,,positive,,,,,
pin trâu,positive,,,,,,,,,
các tính năng hỗ trợ hữu ích,,,,,,,positive,,,
camera ổn,,positive,,,,,,,,
Cấu hình tốt,,,,,positive,,,,,
Nói chung là tuyệt vời,,,positive,,,,,,,
pin tuột nhanh nhưng nhờ có sạc nhanh,neutral,,,,,,,,,
"game ổn, liên quân bật cấu hình k dc cao(hơi bị khựng lúc giao tranh)",,,,,neutral,,,,,
camera tạm,,neutral,,,,,,,,
màn hình đẹp,,,,,,,,,positive,
"cảm ứng ok, vân tay nhạy",,,,,,,positive,,,
mỏng nhẹ,,,,,,positive,,,,
giá 7tr290,,,,,,,,neutral,,
"nhan viên tgdd an minh-kien giang vui vẻ phục vụ nhiệt tình,ủng hộ tiếp",,,,positive,,,,,,
sạc lần đầu mà nóng máy quá,negative,,,,,,,,,
Pin thì oke,positive,,,,,,,,,
Tốt ngon hài lòng,,,positive,,,,,,,
pin siêu trâu,positive,,,,,,,,,
màn hình đẹp,,,,,,,,,positive,
cầm nắm ổn,,,,,,positive,,,,
Ủng hộ tgdd,,,,positive,,,,,,
"sóng mạng yếu quá, bình thường full, nhưng đưa đó máy chỉ được 2, 3 vạch",,,,,,,negative,,,
Hiệu năng mạnh mẽ,,,,,positive,,,,,
dung lượng pin lớn,positive,,,,,,,,,
camera hơi yếu,,negative,,,,,,,,
mức giá hợp lí,,,,,,,,positive,,
nhân viên tư vấn rất nhiệt tình,,,,positive,,,,,,
Sản phẩm sử dụng tốt,,,positive,,,,,,,
cảm ứng nhạy,,,,,,,positive,,,
chơi game rất mượt,,,,,positive,,,,,
Pin dùng lâu,positive,,,,,,,,,
cảm ứng vân tay nhạy,,,,,,,positive,,,
Máy pin trâu,positive,,,,,,,,,
chơi game còn hay giật lag. Muốn mượt thì ae chỉnh cấu hình thấp xíu là ok,,,,,neutral,,,,,
Nói chúng máy ok,,,positive,,,,,,,
Nhân viên phục vụ tốt cho 5s,,,,positive,,,,,,
sang trọng cầm vào tay cảm giác rất thích,,,,,,positive,,,,
Pin hơi kém,negative,,,,,,,,,
Nhân viên nhiệt tình vui vẻ,,,,positive,,,,,,
Pin trâu,positive,,,,,,,,,
khá mượt,,,,,positive,,,,,
Ok,,,positive,,,,,,,
Nhưng hơi dày,,,,,,negative,,,,
bắt sóng và kết nối wifi hơi yếu,,,,,,,negative,,,
màn hình hơi tối,,,,,,,,,negative,
Nói chung dùng cũng ổn,,,positive,,,,,,,
vivo y19 tốt hơn các loại máy sản phẩm hãng khác Vivo y19 không có gì để chê,,,positive,,,,,,,
"Nó hay nhảy màn hình, đơ máy cs khi đang xem phim tự tắt ra, 1 tuần cập nhật 1 lần",,,,,negative,,,,,
Mọi thứ điều rất tốt,,,positive,,,,,,,
 pin trâu,positive,,,,,,,,,
chụp ảnh đẹp,,positive,,,,,,,,
chơi game mượt,,,,,positive,,,,,
thiết kế đẹp hơi buồn xíu vì khung và vỏ bằng nhựa nhưng lại rất đẹp nhẹ,,,,,,neutral,,,,
Quá tuyệt vời so với mức giá,,,positive,,,,,,,
"Nhân viên tgdđ rất lịch sự, xin cám ơn",,,,positive,,,,,,
Nói chung màn hình to xem phim rất đã,,,,,,,,,positive,
pin dùng cả ngày mới phải sạc,positive,,,,,,,,,
"vân tay ko nhạy mấy, blutood hơi chập chờn",,,,,,,negative,,,
chơi game thì ổn ở mức mặc định,,,,,positive,,,,,
 nhân viên nhiệt tình chu đáo,,,,positive,,,,,,
"Đã nhận được hàng khuyến mãi, nhân viên TGDĐ rất cầu thị, tiếp thu ý kiến khách hàng. Điểm cộng",,,,positive,,,,,,
sản phẩm A51 hay bị lỗi khi tắt màn hình sau đó bật trở lại bằng vân tay màn hình mở khóa nhưng lại rất tối,,,,,,,negative,,,
vivo u10 bắt sóng hơi kém nhỉSóng sim Sóng wifi bắt hơi xa kém hơn máy đt khác,,,,,negative,,,,,
Còn lại ngon,,,positive,,,,,,,
"Nhân viên tư vấn quá nhiệt tình và hiếu khách, cực kỳ ấn tượng",,,,positive,,,,,,
nói chung máy cực tốt,,,positive,,,,,,,
Crom không thể cập nhật được trong khi tất cả ứng dụng đều cập nhật được,,,,,negative,,,,,
Pin ổn đủ xài,positive,,,,,,,,,
Độ phản hồi chậm quá chậm. Nhấn đúp mở màn hình không lên luôn. 4g mà như 3g ý,,,,,,,negative,,,
quá ok,,,positive,,,,,,,
pin dùng sướng,positive,,,,,,,,,
màu trắng nhìn hơi chán,,,,,,negative,,,,
máy màn hình đẹp xem phim nghe nhạc rất tốt,,,,,,,,,positive,
chơi game nặng như liên quân PUBG rất mượt nhưng chơi khoảng một tiếng máy nóng lên là bị giật lag,,,,,negative,,,,,
Pin 4000 nhưng thật tế ko trâu,negative,,,,,,,,,
chụp ảnh được màu sắc trung thực rõ nét,,positive,,,,,,,,
giá 5tr,,,,,,,,neutral,,
con này là tốt nhất,,,positive,,,,,,,
Pin 5000 mà sao mau tuột pin quá vậy,negative,,,,,,,,,
màn hình kéo thì k di,,,,,,,negative,,,
hối hận vô cùng,,,negative,,,,,,,
Sản phẩm dùng ok,,,positive,,,,,,,
Các ứng dụng tốt,,,,,positive,,,,,
không kết nối được với camera ip (KP View). Còn camera wifi yosee thì kết nối được,,,,,,,negative,,,
chiếc này hơi thất vọng về 1 số thứ,,,negative,,,,,,,
sạc pin thì nóng sạc lâu,negative,,,,,,,,,
lâu lâu bị dilay,,,,,negative,,,,,
Sản phẩm chụp hình đẹp,,positive,,,,,,,,
Pin oki,positive,,,,,,,,,
Màu xanh đẹp,,,,,,positive,,,,
"Tuy nhiên vao Facebook, Zalo nhập nhanh bị out ra",,,,,negative,,,,,
A9 oppo 2020 là đỉnh của đỉnh,,,positive,,,,,,,
cấu hình cao,,,,,positive,,,,,
 chụp ảnh đẹp,,positive,,,,,,,,
Nhiều chế độ ưu việt thông minh,,,,,positive,,,,,
mình rất hài lòng sản phẩm này,,,positive,,,,,,,
Điện thoại quá kém,,,negative,,,,,,,
bắt wifi nhập đúng mật khẩu mà không được,,,,,,,negative,,,
chơi game pubg cứ bị giật với lag,,,,,negative,,,,,
quá chán hối hận quá,,,negative,,,,,,,
"nv tgdd Minh Hưng- Chơn Thành tư vấn nhiệt tình, niềm nở",,,,positive,,,,,,
sản phẩm rất ok,,,positive,,,,,,,
Giá 5.490.000đ,,,,,,,,positive,,
Dùng ổn,,,positive,,,,,,,
hình thức đẹp,,,,,,positive,,,,
"dùng cực kì mượt, game chơi không lag",,,,,positive,,,,,
máy khá ok,,,positive,,,,,,,
chơi game lqmb voi pug khá mượt ko giật lag,,,,,positive,,,,,
pin thì khỏi bàn chơi liên tục 5h mà vẫn còn 30%,positive,,,,,,,,,
lên mạng nhanh,,,,,,,positive,,,
camera thì chụp hơi xấu,,negative,,,,,,,,
Tính đồ game thì nên chọn em này,,,,,positive,,,,,
Máy xài mượt,,,,,positive,,,,,
pin trâu,positive,,,,,,,,,
"hợp lí so với hs,sv xài",,,,,,,,neutral,,
nhân viên tư vấn nhiệt tình,,,,positive,,,,,,
khánh nhanh so với tầm giá,,,,,positive,,,,,
Máy xài dc thời gian là chậm rì,,,,,negative,,,,,
màn hình xuấu quá,,,,,,,,,negative,
cái viền nó tróc sơn ra ý nhìn ko chịu được,,,,,,negative,,,,
Máy quá kém,,,negative,,,,,,,
chơi game lag giật k chơi nổi dù đã hạ cấu hình game xuống mức thấp nhất,,,,,negative,,,,,
cảm thấy ko hài lòng,,,negative,,,,,,,
Cảm biến vân tay chậm quá,,,,,,,negative,,,
Máy cực nóng,,,,,positive,,,,,
" đang dùng treo logo samsung,1 ngày treo 2 3 lần,đã đem ra nhờ kỹ thuật kiểm tra,cập nhật phần mềm,về vẫn bị treo logo",,,,,negative,,,,,
máy xài nói chung thì good OK.. chưa thấy vấn đề gì bị lỗi,,,positive,,,,,,,
Tuyệt vời cho sp A91,,,positive,,,,,,,
thiết kế đẹp,,,,,,positive,,,,
cấu hình cao,,,,,positive,,,,,
sạc siêu nhanh,positive,,,,,,,,,
máy đẹp,,,,,,positive,,,,
"cấu hình ổn,chip tuy không quá mạnh nhưng cũng chấp nhận được",,,,,neutral,,,,,
các tính năng còn lại thì không có gì nổi bật tạm chấp nhận được,,,,,,,neutral,,,
Màn hình đẹp mượt mà các bạn lên 120hz sẽ thấy rõ sự khác biệt,,,,,,,,,positive,
Ôm tay,,,,,,positive,,,,
giá 1490000,,,,,,,,neutral,,
pin hau quá nhanh,negative,,,,,,,,,
nhiệt độ quá nóng nếu hoạt động liên tục khoảng 30p máy nóng dữ lắm,,,,,negative,,,,,
máy thường xuyên bị tụt mạng 4g xuống 3g,,,,,,,negative,,,
còn lại mọi thứ khá là tốt,,,positive,,,,,,,
Thấy cũng tạm,,,neutral,,,,,,,
thấy cũng khá OK,,,positive,,,,,,,
không có que chọc sim,,,,negative,,,,,,
Máy đẹp,,,,,,positive,,,,
ổn,,,positive,,,,,,,
bị văng mấy ứng dụng nhẹ nhàng như là Messenger,,,,,negative,,,,,
pin 4000 mà xuống quá nhanh,negative,,,,,,,,,
sạc đầy 100%. Mà sài dc 5p thi nó đến 10%,negative,,,,,,,,,
pin sài thì ok,positive,,,,,,,,,
"bị loạn cảm ứng nhảy tùm lum,reset máy lại sài ok được 1 ngày bị nữa",,,,,,,negative,,,
rất hối hận vì mua dt này,,,negative,,,,,,,
"1,2tr tầm giá rẻ rách",,,,,,,,positive,,
Chiến game đôi lúc xảy ra hiện tượng không ăn cảm ứng,,,,,negative,,,,,
pin ổn,positive,,,,,,,,,
xử lý tác vụ tốt,,,,,positive,,,,,
cảm ứng chơi game lúc ăn lúc không,,,,,,,negative,,,
"vuốt để đọc báo, fb,... => rất nhức mắt",,,,,,,,,negative,
wifi bắt kém (cực kém),,,,,,,negative,,,
"màn hình tối, ám màu vàng",,,,,,,,,negative,
pin trâu,positive,,,,,,,,,
Mình rất thích và rất hài lòng,,,positive,,,,,,,
lỗi khi bấm phím nguồn để màn hình sáng,,,,,negative,,,,,
Mỗi lần bấm phải chờ mấy giây màn hình mới sáng,,,,,negative,,,,,
Mau hết pin quá,negative,,,,,,,,,
Xài dở tệ,,,negative,,,,,,,
 Quảng cáo thì như đúng rồi,,,,negative,,,,,,
4500 mà xài thua huawei 3000 mấy trăm nữa đúng là hết nói,negative,,,,,,,,,
3 lần bị treo đơ máy,,,,,negative,,,,,
ảnh chụp khá đẹp,,positive,,,,,,,,
đưa ảnh chụp vào lưu trữ khá chậm,,,,,negative,,,,,
điện thoại đơ đi nhiều,,,,,negative,,,,,
Pin tụt nhanh,negative,,,,,,,,,
Chip chơi game quá giật lag mặc dù ram 6gb,,,,,negative,,,,,
muốn mở khóa điện thoại phải ấn hai lần nút nguồn,,,,,,,negative,,,
Mua và dùng ổn,,,positive,,,,,,,
Không có ghi âm cuộc gọi,,,,,,,negative,,,
nó quá tuyệt vời,,,positive,,,,,,,
Khá ổn,,,positive,,,,,,,
Giá cũng hợp lý,,,,,,,,positive,,
gặp 1 số lỗi nhỏ khi chơi game có cấu hình đòi hỏi cao,,,,,negative,,,,,
nói chung mọi thứ đều tốt,,,positive,,,,,,,
đặc biệt chụp ảnh đẹp( cả camera trước lẫn sau),,positive,,,,,,,,
"đang xài các ứng dụng thì quảng cáo tự nhiên lọt vào, chặn rồi mà cx ko đỡ hơn",,,,,negative,,,,,
Màn bị lỗi điểm chết đổi 2 máy vẫn bị,,,,,,,,,negative,
máy giá rẻ,,,,,,,,positive,,
bù lại đc cấu hình ổn,,,,,positive,,,,,
xài ok,,,positive,,,,,,,
pin trâu lắm sạc nhanh.xai từ sáng đến tối chưa hết pin,negative,,,,,,,,,
mới vừa sạc thì pin lại báo còn 98%,negative,,,,,,,,,
.hôm vừa rồi đổi 1 con vì mạng vào chập chờn,,,,,,,negative,,,
